Time, NodeID, Gender, AgeYears, IndividualProp=Risk, NumIndividuals, NumInfected
19,1,F,40, High,408,124
19,1,F,40, Low,1651,90
19,1,F,80, High,82,24
19,1,F,80, Low,300,17
19,1,F,125, High,21,5
19,1,F,125, Low,56,3
20,2,M,40, High,1430,0
20,2,M,40, Low,635,0
20,2,M,80, High,260,0
20,2,M,80, Low,112,0
20,2,M,125, High,50,0
20,2,M,125, Low,21,0
20,2,F,40, High,1410,0
20,2,F,40, Low,652,0
20,2,F,80, High,247,0
20,2,F,80, Low,96,0
20,2,F,125, High,52,0
20,2,F,125, Low,35,0
20,1,M,40, High,408,120
20,1,M,40, Low,1617,89
20,1,M,80, High,80,24
20,1,M,80, Low,303,15
20,1,M,125, High,22,7
20,1,M,125, Low,52,4
20,1,F,40, High,408,132
20,1,F,40, Low,1651,90
20,1,F,80, High,82,24
20,1,F,80, Low,300,14
20,1,F,125, High,21,7
20,1,F,125, Low,56,3
21,2,M,40, High,1430,0
21,2,M,40, Low,635,0
21,2,M,80, High,260,0
21,2,M,80, Low,112,0
21,2,M,125, High,50,0
21,2,M,125, Low,21,0
21,2,F,40, High,1410,0
21,2,F,40, Low,652,0
21,2,F,80, High,247,0
21,2,F,80, Low,96,0
21,2,F,125, High,52,0
21,2,F,125, Low,35,0
21,1,M,40, High,408,116
21,1,M,40, Low,1617,90
21,1,M,80, High,80,24
21,1,M,80, Low,303,13
21,1,M,125, High,22,6
21,1,M,125, Low,52,4
21,1,F,40, High,408,124
21,1,F,40, Low,1651,100
21,1,F,80, High,82,24
21,1,F,80, Low,300,20
21,1,F,125, High,21,5
21,1,F,125, Low,56,4
22,2,M,40, High,1430,0
22,2,M,40, Low,635,0
22,2,M,80, High,260,0
22,2,M,80, Low,112,0
22,2,M,125, High,50,0
22,2,M,125, Low,21,0
22,2,F,40, High,1410,0
22,2,F,40, Low,652,0
22,2,F,80, High,247,0
22,2,F,80, Low,96,0
22,2,F,125, High,52,0
22,2,F,125, Low,35,0
22,1,M,40, High,408,97
22,1,M,40, Low,1617,91
22,1,M,80, High,80,29
22,1,M,80, Low,303,17
22,1,M,125, High,22,5
22,1,M,125, Low,52,4
22,1,F,40, High,408,111
22,1,F,40, Low,1651,99
22,1,F,80, High,82,22
22,1,F,80, Low,300,24
22,1,F,125, High,21,5
22,1,F,125, Low,56,3
23,2,M,40, High,1430,0
23,2,M,40, Low,635,0
23,2,M,80, High,260,0
23,2,M,80, Low,112,0
23,2,M,125, High,50,0
23,2,M,125, Low,21,0
23,2,F,40, High,1410,0
23,2,F,40, Low,652,0
23,2,F,80, High,247,0
23,2,F,80, Low,96,0
23,2,F,125, High,52,0
23,2,F,125, Low,35,0
23,1,M,40, High,408,82
23,1,M,40, Low,1617,99
23,1,M,80, High,80,24
23,1,M,80, Low,303,16
23,1,M,125, High,22,5
23,1,M,125, Low,52,4
23,1,F,40, High,408,91
23,1,F,40, Low,1651,110
23,1,F,80, High,82,20
23,1,F,80, Low,300,21
23,1,F,125, High,21,5
23,1,F,125, Low,56,2
24,2,M,40, High,1430,0
24,2,M,40, Low,635,0
24,2,M,80, High,260,0
24,2,M,80, Low,112,0
24,2,M,125, High,50,0
24,2,M,125, Low,21,0
24,2,F,40, High,1410,0
24,2,F,40, Low,652,0
24,2,F,80, High,247,0
24,2,F,80, Low,96,0
24,2,F,125, High,52,0
24,2,F,125, Low,35,0
24,1,M,40, High,408,67
24,1,M,40, Low,1617,95
24,1,M,80, High,80,15
24,1,M,80, Low,303,21
24,1,M,125, High,22,5
24,1,M,125, Low,52,3
24,1,F,40, High,408,72
24,1,F,40, Low,1651,113
24,1,F,80, High,82,16
24,1,F,80, Low,300,23
24,1,F,125, High,21,4
24,1,F,125, Low,56,2
25,2,M,40, High,1430,0
25,2,M,40, Low,635,0
25,2,M,80, High,260,0
25,2,M,80, Low,112,0
25,2,M,125, High,50,0
25,2,M,125, Low,21,0
25,2,F,40, High,1410,0
25,2,F,40, Low,652,0
25,2,F,80, High,247,0
25,2,F,80, Low,96,0
25,2,F,125, High,52,0
25,2,F,125, Low,35,0
25,1,M,40, High,408,52
25,1,M,40, Low,1617,108
25,1,M,80, High,80,10
25,1,M,80, Low,303,25
25,1,M,125, High,22,3
25,1,M,125, Low,52,2
25,1,F,40, High,408,58
25,1,F,40, Low,1651,111
25,1,F,80, High,82,12
25,1,F,80, Low,300,22
25,1,F,125, High,21,0
