Time,NodeID,Gender,AgeYears,NumIndividuals,NumInfected
30,4,M,40,89,51
30,4,M,80,94,50
30,4,M,125,83,51
30,4,F,40,83,54
30,4,F,80,91,66
30,4,F,125,77,55
30,3,M,40,91,66
30,3,M,80,78,56
30,3,M,125,86,56
30,3,F,40,73,46
30,3,F,80,75,53
30,3,F,125,98,70
30,2,M,40,77,52
30,2,M,80,81,50
30,2,M,125,85,59
30,2,F,40,89,66
30,2,F,80,85,71
30,2,F,125,78,50
30,1,M,40,75,59
30,1,M,80,89,68
30,1,M,125,82,68
30,1,F,40,91,80
30,1,F,80,84,64
30,1,F,125,66,52
31,4,M,40,89,48
31,4,M,80,94,49
31,4,M,125,83,51
31,4,F,40,83,50
31,4,F,80,91,63
31,4,F,125,77,55
31,3,M,40,91,66
31,3,M,80,78,56
31,3,M,125,86,55
31,3,F,40,73,45
31,3,F,80,75,53
31,3,F,125,98,70
31,2,M,40,77,52
31,2,M,80,81,50
31,2,M,125,85,57
31,2,F,40,89,66
31,2,F,80,85,68
31,2,F,125,78,52
31,1,M,40,75,56
31,1,M,80,89,70
31,1,M,125,82,65
31,1,F,40,91,78
31,1,F,80,84,60
31,1,F,125,66,52
32,4,M,40,88,47
32,4,M,80,93,50
32,4,M,125,83,51
32,4,F,40,83,50
32,4,F,80,91,59
32,4,F,125,78,54
32,3,M,40,91,66
32,3,M,80,80,54
32,3,M,125,87,51
32,3,F,40,73,43
32,3,F,80,75,54
32,3,F,125,98,69
32,2,M,40,77,53
32,2,M,80,81,51
32,2,M,125,86,57
32,2,F,40,89,61
32,2,F,80,85,65
32,2,F,125,78,53
32,1,M,40,76,58
32,1,M,80,88,69
32,1,M,125,80,63
32,1,F,40,91,75
32,1,F,80,84,58
32,1,F,125,65,48
33,4,M,40,91,48
33,4,M,80,94,47
33,4,M,125,83,49
33,4,F,40,83,52
33,4,F,80,90,58
33,4,F,125,79,50
33,3,M,40,89,68
33,3,M,80,81,57
33,3,M,125,86,53
33,3,F,40,72,41
33,3,F,80,77,56
33,3,F,125,97,68
33,2,M,40,77,53
33,2,M,80,82,52
33,2,M,125,87,52
33,2,F,40,91,66
33,2,F,80,83,59
33,2,F,125,79,53
33,1,M,40,75,59
33,1,M,80,85,64
33,1,M,125,80,62
33,1,F,40,90,70
33,1,F,80,85,56
33,1,F,125,64,44
34,4,M,40,91,48
34,4,M,80,94,47
34,4,M,125,85,49
34,4,F,40,83,49
34,4,F,80,91,56
34,4,F,125,79,43
34,3,M,40,89,63
34,3,M,80,82,57
34,3,M,125,83,52
34,3,F,40,73,45
34,3,F,80,77,57
34,3,F,125,97,69
34,2,M,40,78,51
34,2,M,80,82,53
34,2,M,125,88,54
34,2,F,40,90,62
34,2,F,80,82,56
34,2,F,125,80,54
34,1,M,40,74,56
34,1,M,80,84,65
34,1,M,125,80,63
34,1,F,40,90,67
34,1,F,80,85,59
34,1,F,125,63,45
35,4,M,40,92,47
35,4,M,80,94,45
35,4,M,125,85,49
35,4,F,40,82,44
35,4,F,80,90,53
35,4,F,125,79,43
35,3,M,40,88,64
35,3,M,80,81,54
35,3,M,125,83,50
35,3,F,40,73,45
35,3,F,80,77,56
35,3,F,125,97,69
35,2,M,40,79,56
35,2,M,80,82,51
35,2,M,125,89,56
35,2,F,40,90,62
35,2,F,80,83,55
35,2,F,125,80,53
35,1,M,40,73,54
35,1,M,80,85,68
35,1,M,125,79,64
35,1,F,40,91,68
35,1,F,80,85,61
35,1,F,125,63,42
36,4,M,40,91,46
36,4,M,80,93,42
36,4,M,125,84,48
36,4,F,40,81,42
36,4,F,80,91,52
36,4,F,125,79,40
36,3,M,40,88,65
36,3,M,80,82,53
36,3,M,125,84,53
36,3,F,40,72,43
36,3,F,80,75,52
36,3,F,125,97,69
36,2,M,40,80,55
36,2,M,80,84,54
36,2,M,125,89,56
36,2,F,40,90,60
36,2,F,80,85,56
36,2,F,125,80,55
36,1,M,40,73,55
36,1,M,80,83,64
36,1,M,125,79,64
36,1,F,40,93,69
36,1,F,80,84,64
36,1,F,125,63,42
37,4,M,40,91,44
37,4,M,80,90,36
37,4,M,125,84,44
37,4,F,40,81,39
37,4,F,80,90,49
37,4,F,125,80,40
37,3,M,40,89,66
37,3,M,80,83,56
37,3,M,125,85,53
37,3,F,40,72,42
37,3,F,80,76,56
37,3,F,125,97,69
37,2,M,40,80,51
37,2,M,80,84,53
37,2,M,125,89,53
37,2,F,40,91,60
37,2,F,80,85,55
37,2,F,125,80,55
37,1,M,40,72,53
37,1,M,80,85,65
37,1,M,125,78,63
37,1,F,40,92,67
37,1,F,80,84,65
37,1,F,125,62,44
38,4,M,40,90,44
38,4,M,80,90,35
38,4,M,125,84,39
38,4,F,40,82,37
38,4,F,80,91,46
38,4,F,125,79,38
38,3,M,40,89,68
38,3,M,80,83,55
38,3,M,125,85,52
38,3,F,40,72,42
38,3,F,80,76,54
38,3,F,125,98,68
38,2,M,40,81,49
38,2,M,80,84,53
38,2,M,125,89,55
38,2,F,40,91,59
