Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,SillySkeeter_AvailableHabitat,SillySkeeter_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived,NumVectorsNone,NumVectorsOnlyOocysts,NumVectorsOnlySporozoites,NumVectorsBothOocystsSporozoites,NumBitesAdults,NumBitesInfected,NumBitesInfectious,NumParasiteCohortsOocysts,NumParasiteCohortsSporozoites,NumOocysts,NumSporozoites,NumInfectiousToAdult,NumInfectiousToInfected,*AAAAAAAAAAAAAAAAAAAAAAT,OtherBarcodes
17,4,1000,992,0,0,992,1636,0,121819,78800,39400,375,0,0,0,0,0,86,34,0,16432.7,0.207509,0,0,0,992,0,0,0,375,0,0,0,0,0,0,0,0,0,0
18,1,998,767,0,0,767,1503,0,126732,53800,26900,255,0,0,0,0,0,94,25,0,16460.5,0.23331,0,0,0,767,0,0,0,255,0,0,0,0,0,0,0,0,0,0
18,2,1000,757,0,0,757,1474,0,126642,55000,27500,264,0,0,0,0,0,68,31,0,16550.5,0.251316,0,0,0,757,0,0,0,264,0,0,0,0,0,0,0,0,0,0
18,3,1002,837,0,0,837,1511,0,126407,55400,27700,267,0,0,0,0,0,100,23,0,16785.5,0.23162,0,0,0,837,0,0,0,267,0,0,0,0,0,0,0,0,0,0
18,4,1000,874,0,0,874,1487,0,126720,57600,28800,268,0,0,0,0,0,91,27,0,16472.5,0.208537,0,0,0,874,0,0,0,268,0,0,0,0,0,0,0,0,0,0
19,1,998,672,0,0,672,1347,0,131354,43800,21900,210,0,0,0,0,0,73,22,0,16601.3,0.305958,0,0,0,672,0,0,0,210,0,0,0,0,0,0,0,0,0,0
19,2,1000,668,0,0,668,1311,0,131019,43200,21600,201,0,0,0,0,0,71,18,0,16936.3,0.300919,0,0,0,668,0,0,0,201,0,0,0,0,0,0,0,0,0,0
19,3,1002,731,0,0,731,1366,0,131175,54800,27400,257,0,0,0,0,0,81,25,0,16780.3,0.302988,0,0,0,731,0,0,0,257,0,0,0,0,0,0,0,0,0,0
19,4,1000,769,0,0,769,1361,0,131005,54400,27200,263,0,0,0,0,0,77,28,0,16950.3,0.285982,0,0,0,769,0,0,0,263,0,0,0,0,0,0,0,0,0,0
20,1,999,587,0,0,587,1210,0,135555,44400,22200,212,0,0,0,0,0,63,22,0,16991.5,0.379026,0,0,0,587,0,0,0,212,0,0,0,0,0,0,0,0,0,0
20,2,999,580,0,0,580,1183,0,135508,46400,23200,222,0,0,0,0,0,66,23,0,17038.5,0.392045,0,0,0,580,0,0,0,222,0,0,0,0,0,0,0,0,0,0
20,3,1002,636,0,0,636,1245,0,135860,45400,22700,219,0,0,0,0,0,74,21,0,16686.5,0.30621,0,0,0,636,0,0,0,219,0,0,0,0,0,0,0,0,0,0
20,4,1000,676,0,0,676,1243,0,135797,52800,26400,249,0,0,0,0,0,67,25,0,16749.5,0.311587,0,0,0,676,0,0,0,249,0,0,0,0,0,0,0,0,0,0
21,1,1000,531,0,0,531,1107,0,139448,40400,20200,193,0,0,0,0,0,36,20,0,17524.2,0.382691,0,0,0,531,0,0,0,193,0,0,0,0,0,0,0,0,0,0
21,2,999,491,0,0,491,1083,0,139678,34000,17000,168,0,0,0,0,0,75,14,0,17294.2,0.367209,0,0,0,491,0,0,0,168,0,0,0,0,0,0,0,0,0,0
21,3,1001,557,0,0,557,1129,0,139610,39200,19600,181,0,0,0,0,0,63,16,0,17362.2,0.367544,0,0,0,557,0,0,0,181,0,0,0,0,0,0,0,0,0,0
21,4,1000,603,0,0,603,1123,0,139872,40000,20000,193,0,0,0,0,0,55,18,0,17100.2,0.317225,0,0,0,603,0,0,0,193,0,0,0,0,0,0,0,0,0,0
22,1,999,472,0,0,472,998,0,143754,28400,14200,137,0,0,0,0,0,43,16,0,17484.5,0.433767,0,0,0,472,0,0,0,137,0,0,0,0,0,0,0,0,0,0
22,2,1000,424,0,0,424,987,0,143883,27800,13900,130,0,0,0,0,0,52,14,0,17355.5,0.508653,0,0,0,424,0,0,0,130,0,0,0,0,0,0,0,0,0,0
22,3,1001,484,0,0,484,1024,0,143539,35800,17900,171,0,0,0,0,0,56,17,0,17699.5,0.442913,0,0,0,484,0,0,0,171,0,0,0,0,0,0,0,0,0,0
