Year,Node_ID,Event_Name,Individual_ID,Age,Gender,Infectiousness
2000.33,1,PreDebut,17979,821.25,M,0
2000.33,1,PreDebut,16202,3802.09,M,0
2000.33,1,PostDebut,12313,10432.9,F,0
2000.33,1,PostDebut,14736,6326.66,M,0
2000.33,1,PostDebut,431,18141.3,F,0
2000.33,1,PreDebut,15156,5566.25,M,0
2000.33,1,PreDebut,17214,2098.75,F,0
2000.33,1,PostDebut,434,16168.7,M,0
2000.33,1,PostDebut,13460,8455.82,F,0
2000.33,1,PostDebut,14709,6357.08,F,0
2000.33,1,PostDebut,437,15219.6,M,0
2000.33,1,PostDebut,438,16980.7,F,0
2000.33,1,PostDebut,439,16535.6,M,0
2000.33,1,PostDebut,15278,5353.33,F,0
2000.33,1,PreDebut,18109,608.333,F,0
2000.33,1,PostDebut,442,15975.5,F,0
2000.33,1,PostDebut,443,15865.4,F,0
2000.33,1,PreDebut,16076,4015,F,0
2000.33,1,PreDebut,15839,4410.42,M,0
2000.33,1,PreDebut,16462,3376.25,M,0
2000.33,1,PostDebut,12848,9581.25,M,0
2000.33,1,PostDebut,12787,9672.5,F,0
2000.33,1,PostDebut,449,18751.8,F,0
2000.33,1,PostDebut,14961,5931.24,F,0
2000.33,1,PostDebut,11396,12045,M,0
2000.33,1,PreDebut,16615,3132.92,M,0
2000.33,1,PostDebut,453,15103,M,0
2000.33,1,PostDebut,14534,6661.24,M,0
2000.33,1,PreDebut,15963,4197.5,F,0
2000.33,1,PostDebut,456,16436.1,F,0
2000.33,1,PreDebut,16312,3619.59,F,0
2000.33,1,PostDebut,12029,10950,F,0
2000.33,1,PreDebut,15736,4592.92,F,0
2000.33,1,PostDebut,10425,13748.4,F,0
2000.33,1,PostDebut,10455,13687.5,F,0
2000.33,1,PostDebut,462,16344.2,F,0
2000.33,1,PostDebut,463,18702.6,F,0
2000.33,1,PostDebut,10656,13322.5,F,0
2000.33,1,PostDebut,11007,12714.2,F,0
2000.33,1,PostDebut,12671,9855,F,0
2000.33,1,PostDebut,467,16606.8,M,0
2000.33,1,PostDebut,11745,11436.7,F,0
2000.33,1,PostDebut,10504,13596.3,M,0
2000.33,1,PostDebut,10862,12988,M,0
2000.33,1,PostDebut,471,16040.2,M,0
2000.33,1,PreDebut,15418,5110,M,0
2000.33,1,PostDebut,473,18493.2,F,0
2000.33,1,PreDebut,16461,3376.25,F,0
2000.33,1,PostDebut,475,14754.5,M,0
2000.33,1,PreDebut,17580,1460,M,0
2000.33,1,PreDebut,16252,3741.25,M,0
2000.33,1,PostDebut,478,14992.6,F,0
2000.33,1,PostDebut,10424,13748.4,F,0
2000.33,1,PostDebut,15141,5596.66,F,0
2000.33,1,PostDebut,481,14635.4,M,0
2000.33,1,PostDebut,10655,13322.5,M,0
2000.33,1,PreDebut,18085,638.75,M,0
2000.33,1,PreDebut,16295,3650,F,0
2000.33,1,PostDebut,11676,11558.4,F,0
2000.33,1,PreDebut,16652,3072.08,M,0
2000.33,1,PostDebut,14012,7482.49,M,0
2000.33,1,PostDebut,13744,7969.15,F,0
2000.33,1,PreDebut,17052,2372.5,M,0
2000.33,1,PostDebut,490,18687.7,M,0
2000.33,1,PostDebut,491,18726.1,M,0
2000.33,1,PostDebut,492,15838.2,M,0
2000.33,1,PostDebut,493,19206.3,M,0
2000.33,1,PostDebut,11708,11497.5,M,0
2000.33,1,PostDebut,12066,10889.2,F,0
2000.33,1,PreDebut,16651,3072.08,F,0
2000.33,1,PostDebut,12150,10737.1,M,0
2000.33,1,PostDebut,498,18677.6,M,0
2000.33,1,PostDebut,11675,11558.4,M,0
2000.33,1,PostDebut,500,17069.8,M,0
2000.33,1,PreDebut,17136,2220.42,M,0
2000.33,1,PostDebut,10472,13657.1,F,0
2000.33,1,PreDebut,17811,1095,M,0
2000.33,1,PreDebut,18284,334.583,M,0
2000.33,1,PostDebut,505,16777.1,F,0
2000.33,1,PostDebut,506,17910.2,M,0
2000.33,1,PostDebut,12591,9976.67,M,0
2000.33,1,PreDebut,15475,5018.75,F,0
2000.33,1,PostDebut,11814,11315,M,0
2000.33,1,PostDebut,10057,14448,M,0
2000.33,1,PostDebut,511,19563.3,F,0
2000.33,1,PostDebut,14184,7208.74,M,0
2000.33,1,PostDebut,513,16460.3,F,0
2000.33,1,PreDebut,17283,1977.08,M,0
2000.33,1,PreDebut,15372,5201.25,F,0
2000.33,1,PostDebut,13264,8790.41,M,0
2000.33,1,PreDebut,16758,2889.58,F,0
2000.33,1,PostDebut,13743,7969.15,M,0
2000.33,1,PostDebut,10503,13596.3,M,0
2000.33,1,PostDebut,14105,7330.4,M,0
2000.33,1,PostDebut,521,16291.6,M,0
2000.33,1,PostDebut,11930,11102.1,F,0
2000.33,1,PreDebut,18084,638.75,M,0
2000.33,1,PreDebut,16827,2767.92,M,0
2000.33,1,PostDebut,12179,10676.3,M,0
