Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Is_rel_outside_PFA,male_ID,female_ID,male_age,female_age,num_total_coital_acts,Termination_Reason
665,4,30,545.981,38,1,F,1325,94,34.059,29.2709,1,PARTNER_MIGRATING
686,3,32,18050.3,39,2,F,612,1136,53.6981,54.175,2,PARTNER_MIGRATING
98,3,1,610.787,39,1,F,80,944,42.2738,39.9116,7,PARTNER_MIGRATING
168,3,2,4875.22,39,2,F,1036,944,46.3807,39.9116,4,PARTNER_MIGRATING
133,1,1,596.924,39,0,F,426,886,27.4999,17.4772,6,SELF_MIGRATING
734,1,37,475.139,39,1,F,426,798,27.4999,22.4436,1,SELF_MIGRATING
557,1,20,232.627,39,0,F,826,748,19.7878,16.8842,4,PARTNER_MIGRATING
599,1,23,419.716,39,1,F,128,748,25.5818,16.8842,2,PARTNER_MIGRATING
582,1,22,102.767,39,0,F,426,874,27.4999,26.0956,6,SELF_MIGRATING
631,4,28,516.987,40,1,F,157,899,52.7131,44.1192,4,PARTNER_MIGRATING
16,3,0,7078.88,40,2,F,669,637,55.3584,43.2572,13,SELF_MIGRATING
561,3,21,126.9,40,0,F,554,436,30.9352,29.5582,2,SELF_MIGRATING
548,3,19,12056,40,2,F,840,436,30.6787,29.5582,8,SELF_MIGRATING
160,2,2,532.766,40,1,F,512,944,44.3169,39.9116,2,PARTNER_TERMINATED
335,1,5,1473.34,40,2,F,163,1131,43.4759,46.8385,7,PARTNER_TERMINATED
6,4,0,668.707,41,0,F,981,13,22.8704,19.2039,12,SELF_MIGRATING
692,4,33,705.633,41,1,F,157,649,52.7158,46.6618,1,SELF_MIGRATING
20,3,0,40.5088,41,0,F,352,144,19.7561,16.7192,8,BROKEUP
407,3,9,579.337,41,0,F,16,216,19.2743,24.7203,7,SELF_MIGRATING
298,3,4,8794.12,41,2,F,1199,1223,43.5514,23.1263,7,PARTNER_MIGRATING
414,3,9,220.241,41,1,F,846,1223,30.2308,23.1263,8,PARTNER_MIGRATING
427,3,10,577.837,41,1,F,380,760,55.9285,62.5747,4,PARTNER_MIGRATING
485,3,13,404.175,41,1,F,684,936,30.3946,30.957,5,PARTNER_MIGRATING
186,2,2,6378.68,41,2,F,779,1091,34.3501,33.9695,9,PARTNER_TERMINATED
651,2,29,711.105,41,1,F,1180,1105,25.813,13.5105,3,SELF_MIGRATING
167,3,2,8793.27,42,2,F,196,1108,40.7511,45.3141,7,SELF_MIGRATING
581,3,22,7304.19,42,2,F,151,1107,59.0806,54.9797,6,SELF_MIGRATING
110,1,1,41.6894,42,0,F,783,919,16.6583,16.7393,11,BROKEUP
702,1,34,443.898,42,0,F,878,798,19.7316,22.4546,3,SELF_MIGRATING
764,1,41,1141.85,42,1,F,1234,798,30.2936,22.4546,1,SELF_MIGRATING
763,1,41,295.655,42,0,F,1279,798,20.4788,22.4546,2,SELF_MIGRATING
694,4,33,95.5117,43,1,F,971,1186,36.3248,30.3361,2,PARTNER_MIGRATING
391,3,8,248.355,43,0,F,812,132,37.7853,30.5063,6,SELF_MIGRATING
365,3,7,792.877,43,0,F,668,132,38.4438,30.5063,8,SELF_MIGRATING
739,3,38,778.392,43,1,F,1359,788,26.9535,25.294,1,PARTNER_MIGRATING
741,3,38,382.69,43,1,F,1359,216,26.9535,24.7258,1,PARTNER_MIGRATING
740,3,38,1112.47,43,1,F,1359,1312,26.9535,30.1332,1,PARTNER_MIGRATING
513,3,16,774.188,43,0,F,692,955,40.7649,21.7659,4,PARTNER_MIGRATING
745,3,39,341.738,43,0,F,888,746,23.1368,16.5634,1,SELF_MIGRATING
726,3,37,708.005,43,0,F,888,1073,23.1368,22.7338,3,SELF_MIGRATING
730,2,37,1394.76,43,1,F,1113,755,18.5492,16.3347,2,SELF_MIGRATING
197,2,2,9335.84,43,2,F,1282,598,49.1502,36.1312,10,SELF_MIGRATING
778,1,42,623.994,43,0,F,1278,1131,48.2033,46.8495,1,PARTNER_MIGRATING
473,1,12,460.511,43,1,F,1278,333,48.2033,39.9026,6,PARTNER_MIGRATING
306,1,4,1691.98,43,2,F,1278,234,48.2033,43.3696,10,PARTNER_MIGRATING
785,1,43,1081.26,43,1,F,64,748,17.55,16.8951,1,SELF_MIGRATING
402,4,9,669.427,44,0,F,1077,429,19.3477,21.7459,8,SELF_MIGRATING
