Time, NodeID, Population, VectorPopulation, AdultCount, InfectedCount, InfectiousCount, MaleCount, NewEggsCount, IndoorBitesCount, OutdoorBitesCount, NewAdults, DiedBeforeFeeding, DiedDuringFeedingIndoor, DiedDuringFeedingOutdoor, MigrationFromCountLocal, MigrationFromCountRegional, arabiensis_AvailableHabitat, funestus_AvailableHabitat, gambiae_AvailableHabitat, arabiensis_EggCrowdingCorrection, funestus_EggCrowdingCorrection, gambiae_EggCrowdingCorrection
70,1,100,49805,49805,0,0,100000,0,498,0,0,0,0,0,1,0,0,0,0,0,0,0
71,2,99,50678,50678,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1,100,49322,49322,0,0,100000,0,493,0,0,0,0,0,1,0,0,0,0,0,0,0
72,2,99,51172,51172,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,100,48828,48828,0,0,100000,0,488,0,0,0,0,0,1,0,0,0,0,0,0,0
73,2,99,51621,51621,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,100,48379,48379,0,0,100000,0,483,0,0,0,0,0,1,0,0,0,0,0,0,0
74,2,99,52117,52117,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,100,47883,47883,0,0,100000,0,478,0,0,0,0,0,1,0,0,0,0,0,0,0
75,2,99,52598,52598,0,0,0,0,531,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,100,47402,47402,0,0,100000,0,474,0,0,0,0,0,1,0,0,0,0,0,0,0
76,2,99,53074,53074,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0
76,1,100,46926,46926,0,0,100000,0,469,0,0,0,0,0,1,0,0,0,0,0,0,0
77,2,99,53556,53556,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,99,46444,46444,0,0,100000,0,469,0,0,0,0,0,1,0,0,0,0,0,0,0
78,2,99,53989,53989,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1,99,46011,46011,0,0,100000,0,464,0,0,0,0,0,1,0,0,0,0,0,0,0
79,2,99,54484,54484,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1,99,45516,45516,0,0,100000,0,459,0,0,0,0,0,1,0,0,0,0,0,0,0
80,2,99,54957,54957,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1,99,45043,45043,0,0,100000,0,454,0,0,0,0,0,1,0,0,0,0,0,0,0
81,2,99,55435,55435,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1,99,44565,44565,0,0,100000,0,450,0,0,0,0,0,1,0,0,0,0,0,0,0
82,2,99,55864,55864,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1,99,44136,44136,0,0,100000,0,445,0,0,0,0,0,1,0,0,0,0,0,0,0
83,2,99,56284,56284,0,0,0,0,568,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1,99,43716,43716,0,0,100000,0,441,0,0,0,0,0,1,0,0,0,0,0,0,0
84,2,99,56693,56693,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,99,43307,43307,0,0,100000,0,437,0,0,0,0,0,1,0,0,0,0,0,0,0
85,2,99,57110,57110,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,99,42890,42890,0,0,100000,0,433,0,0,0,0,0,1,0,0,0,0,0,0,0
86,2,99,57531,57531,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,99,42469,42469,0,0,100000,0,428,0,0,0,0,0,1,0,0,0,0,0,0,0
87,2,99,57959,57959,0,0,0,0,585,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,99,42041,42041,0,0,100000,0,424,0,0,0,0,0,1,0,0,0,0,0,0,0
88,2,99,58415,58415,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,99,41585,41585,0,0,100000,0,420,0,0,0,0,0,1,0,0,0,0,0,0,0
89,2,99,58808,58808,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1,99,41192,41192,0,0,100000,0,416,0,0,0,0,0,1,0,0,0,0,0,0,0
90,2,99,59225,59225,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,99,40775,40775,0,0,100000,0,411,0,0,0,0,0,1,0,0,0,0,0,0,0
91,2,99,59645,59645,0,0,0,0,602,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,99,40355,40355,0,0,100000,0,407,0,0,0,0,0,1,0,0,0,0,0,0,0
92,2,99,60048,60048,0,0,0,0,606,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1,99,39952,39952,0,0,100000,0,403,0,0,0,0,0,1,0,0,0,0,0,0,0
93,2,99,60440,60440,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1,99,39560,39560,0,0,100000,0,399,0,0,0,0,0,1,0,0,0,0,0,0,0
94,2,99,60834,60834,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,99,39166,39166,0,0,100000,0,395,0,0,0,0,0,1,0,0,0,0,0,0,0
95,2,99,61228,61228,0,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1,99,38772,38772,0,0,100000,0,391,0,0,0,0,0,1,0,0,0,0,0,0,0
96,2,99,61605,61605,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,99,38395,38395,0,0,100000,0,387,0,0,0,0,0,1,0,0,0,0,0,0,0
97,2,99,61985,61985,0,0,0,0,626,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,99,38015,38015,0,0,100000,0,383,0,0,0,0,0,1,0,0,0,0,0,0,0
98,2,99,62372,62372,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1,99,37628,37628,0,0,100000,0,380,0,0,0,0,0,1,0,0,0,0,0,0,0
99,2,99,62758,62758,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,99,37242,37242,0,0,100000,0,376,0,0,0,0,0,1,0,0,0,0,0,0,0
100,2,99,63135,63135,0,0,0,0,637,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,99,36865,31632,5233,0,100000,0,372,0,0,0,0,0,2,0,0,0,0,0,0,0
101,2,99,63481,63426,0,55,0,0,641,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1,99,36519,26855,4486,5178,100000,0,368,0,0,0,0,0,3,0,0,0,0,0,0,0
102,2,98,63821,63668,0,153,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,99,36179,22917,3696,9566,100000,0,365,0,0,0,0,0,3,0,0,0,0,0,0,0
103,2,98,64186,63901,0,285,0,0,654,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,99,35814,19472,3212,13130,100000,0,361,0,0,0,0,0,3,0,0,0,0,0,0,0
104,2,98,64564,64112,0,452,0,0,658,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,99,35436,16523,2738,16175,100000,0,357,0,0,0,0,0,3,0,0,0,0,0,0,0
105,2,98,64886,64271,0,615,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,99,35114,14088,2276,18750,100000,0,354,0,0,0,0,0,3,0,0,0,0,0,0,0
106,2,98,65255,64426,0,829,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,99,34745,11977,1956,20812,100000,0,350,0,0,0,0,0,3,0,0,0,0,0,0,0
107,2,98,65596,64529,0,1067,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,99,34404,10275,1599,22530,100000,0,347,0,0,0,0,0,3,0,0,0,0,0,0,0
108,2,98,65937,64635,0,1302,0,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0
108,1,99,34063,8713,1456,23894,100000,0,344,0,0,0,0,0,3,0,0,0,0,0,0,0
109,2,98,66298,64743,0,1555,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0
109,1,99,33702,7397,1208,25097,100000,0,340,0,0,0,0,0,3,0,0,0,0,0,0,0
110,2,98,66645,64820,0,1825,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0
110,1,99,33355,6269,1051,26035,100000,0,336,0,0,0,0,0,3,0,0,0,0,0,0,0
111,2,98,66938,64873,0,2065,0,0,683,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,99,33062,5322,894,26846,100000,0,333,0,0,0,0,0,3,0,0,0,0,0,0,0
112,2,98,67271,64922,0,2349,0,0,686,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,99,32729,4514,759,27456,100000,0,330,0,0,0,0,0,3,0,0,0,0,0,0,0
113,2,98,67599,64964,0,2635,0,0,689,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1,99,32401,3838,634,27929,100000,0,327,0,0,0,0,0,3,0,0,0,0,0,0,0
114,2,98,67930,65003,0,2927,0,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,99,32070,3240,559,28271,100000,0,323,0,0,0,0,0,3,0,0,0,0,0,0,0
115,2,98,68246,65024,0,3222,0,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,99,31754,2768,451,28535,100000,0,320,0,0,0,0,0,3,0,0,0,0,0,0,0
116,2,98,68577,65057,0,3520,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,99,31423,2338,397,28688,100000,0,317,0,0,0,0,0,3,0,0,0,0,0,0,0
117,2,98,68875,65075,0,3800,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,99,31125,2004,316,28805,100000,0,314,0,0,0,0,0,3,0,0,0,0,0,0,0
118,2,98,69158,65094,0,4064,0,0,705,0,0,0,0,0,0,0,0,0,0,0,0,0
118,1,99,30842,1716,269,28857,100000,0,311,0,0,0,0,0,3,0,0,0,0,0,0,0
119,2,98,69440,65115,0,4325,0,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,99,30560,1463,232,28865,100000,0,308,0,0,0,0,0,3,0,0,0,0,0,0,0
120,2,98,69799,65126,0,4673,0,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,99,30201,1250,202,28749,100000,0,305,0,0,0,0,0,3,0,0,0,0,0,0,0
