Time, NodeID, AgeYears, NumIndividuals, NumInfected, NodeProp=Accessibility
72,9,125,10,1,YES
72,8,125,10,2,YES
72,7,125,10,0,YES
72,6,125,10,0,YES
72,5,125,10,1,YES
72,4,125,10,2,YES
72,3,125,10,1,YES
72,2,125,10,0,YES
72,1,125,10,0,YES
73,10,125,10,0,YES
73,9,125,10,1,YES
73,8,125,10,2,YES
73,7,125,10,0,YES
73,6,125,10,0,YES
73,5,125,10,1,YES
73,4,125,10,1,YES
73,3,125,10,1,YES
73,2,125,10,0,YES
73,1,125,10,0,YES
74,10,125,10,0,YES
74,9,125,10,1,YES
74,8,125,10,2,YES
74,7,125,10,0,YES
74,6,125,10,0,YES
74,5,125,10,1,YES
74,4,125,10,1,YES
74,3,125,10,1,YES
74,2,125,10,0,YES
74,1,125,10,0,YES
75,10,125,10,0,YES
75,9,125,10,0,YES
75,8,125,10,2,YES
75,7,125,10,0,YES
75,6,125,10,0,YES
75,5,125,10,1,YES
75,4,125,10,1,YES
75,3,125,10,1,YES
75,2,125,10,0,YES
75,1,125,10,0,YES
76,10,125,10,0,YES
76,9,125,10,0,YES
76,8,125,10,2,YES
76,7,125,10,0,YES
76,6,125,10,0,YES
76,5,125,10,0,YES
76,4,125,10,1,YES
76,3,125,10,1,YES
76,2,125,10,0,YES
76,1,125,10,0,YES
77,10,125,10,0,YES
77,9,125,10,0,YES
77,8,125,10,2,YES
77,7,125,10,0,YES
77,6,125,10,0,YES
77,5,125,10,0,YES
77,4,125,10,1,YES
77,3,125,10,1,YES
77,2,125,10,0,YES
77,1,125,10,0,YES
78,10,125,10,0,YES
78,9,125,10,0,YES
78,8,125,10,2,YES
78,7,125,10,0,YES
78,6,125,10,0,YES
78,5,125,10,0,YES
78,4,125,10,1,YES
78,3,125,10,1,YES
78,2,125,10,0,YES
78,1,125,10,0,YES
79,10,125,10,0,YES
79,9,125,10,0,YES
79,8,125,10,2,YES
79,7,125,10,0,YES
79,6,125,10,0,YES
79,5,125,10,0,YES
79,4,125,10,1,YES
79,3,125,10,1,YES
79,2,125,10,0,YES
79,1,125,10,0,YES
80,10,125,10,0,YES
80,9,125,10,0,YES
80,8,125,10,2,YES
80,7,125,10,0,YES
80,6,125,10,0,YES
80,5,125,10,0,YES
80,4,125,10,1,YES
80,3,125,10,1,YES
80,2,125,10,0,YES
80,1,125,10,0,YES
81,10,125,10,0,YES
81,9,125,10,0,YES
81,8,125,10,2,YES
81,7,125,10,0,YES
81,6,125,10,0,YES
81,5,125,10,0,YES
81,4,125,10,1,YES
81,3,125,10,1,YES
81,2,125,10,0,YES
81,1,125,10,0,YES
82,10,125,10,0,YES
82,9,125,10,0,YES
82,8,125,10,2,YES
82,7,125,10,0,YES
82,6,125,10,0,YES
82,5,125,10,0,YES
82,4,125,10,0,YES
82,3,125,10,1,YES
82,2,125,10,0,YES
82,1,125,10,0,YES
83,10,125,10,0,YES
83,9,125,10,0,YES
83,8,125,10,2,YES
83,7,125,10,0,YES
83,6,125,10,0,YES
83,5,125,10,0,YES
83,4,125,10,0,YES
83,3,125,10,1,YES
83,2,125,10,0,YES
83,1,125,10,0,YES
84,10,125,10,0,YES
84,9,125,10,0,YES
84,8,125,10,2,YES
84,7,125,10,0,YES
84,6,125,10,0,YES
84,5,125,10,0,YES
84,4,125,10,0,YES
84,3,125,10,1,YES
84,2,125,10,0,YES
84,1,125,10,0,YES
85,10,125,10,0,YES
85,9,125,10,0,YES
85,8,125,10,2,YES
85,7,125,10,0,YES
85,6,125,10,0,YES
85,5,125,10,0,YES
85,4,125,10,0,YES
85,3,125,10,1,YES
85,2,125,10,0,YES
85,1,125,10,0,YES
86,10,125,10,0,YES
86,9,125,10,0,YES
86,8,125,10,2,YES
86,7,125,10,0,YES
86,6,125,10,0,YES
86,5,125,10,0,YES
86,4,125,10,0,YES
86,3,125,10,1,YES
86,2,125,10,0,YES
86,1,125,10,0,YES
87,10,125,10,0,YES
87,9,125,10,0,YES
87,8,125,10,2,YES
87,7,125,10,0,YES
87,6,125,10,0,YES
87,5,125,10,0,YES
87,4,125,10,0,YES
87,3,125,10,1,YES
87,2,125,10,0,YES
87,1,125,10,0,YES
88,10,125,10,0,YES
88,9,125,10,0,YES
88,8,125,10,2,YES
88,7,125,10,0,YES
88,6,125,10,0,YES
88,5,125,10,0,YES
88,4,125,10,0,YES
88,3,125,10,1,YES
88,2,125,10,0,YES
88,1,125,10,0,YES
89,10,125,10,0,YES
89,9,125,10,0,YES
89,8,125,10,2,YES
89,7,125,10,0,YES
89,6,125,10,0,YES
89,5,125,10,0,YES
89,4,125,10,0,YES
89,3,125,10,1,YES
89,2,125,10,0,YES
89,1,125,10,0,YES
90,10,125,10,0,YES
90,9,125,10,0,YES
90,8,125,10,2,YES
90,7,125,10,0,YES
90,6,125,10,0,YES
90,5,125,10,0,YES
90,4,125,10,0,YES
90,3,125,10,1,YES
90,2,125,10,0,YES
90,1,125,10,0,YES
91,10,125,10,0,YES
91,9,125,10,0,YES
91,8,125,10,2,YES
