Time,NodeID,Alleles,VectorPopulation,STATE_MALE,VectorPopulationNumDied,MaleNumDied,VectorPopulationAvgAgeAtDeath,MaleAvgAgeAtDeath
106,1,Y2,0,242099,0,29097,0,8.34199
107,1,X1,812189,407972,96594,48907,8.36804,8.30562
107,1,X2,403997,201963,48612,24116,8.37209,8.36324
107,1,Y1,0,367635,0,44139,0,8.29439
107,1,Y2,0,242300,0,28884,0,8.3709
108,1,X1,810898,407276,97801,48924,8.37549,8.3625
108,1,X2,404086,202072,48595,24140,8.30116,8.36189
108,1,Y1,0,366974,0,44018,0,8.34275
108,1,Y2,0,242374,0,29046,0,8.39193
109,1,X1,810527,407365,96873,48587,8.33925,8.34406
109,1,X2,403297,201686,48419,24138,8.25312,8.37186
109,1,Y1,0,367063,0,44030,0,8.36171
109,1,Y2,0,241988,0,28695,0,8.34037
110,1,X1,812062,407321,96742,48598,8.32861,8.3372
110,1,X2,404058,201935,48056,24032,8.31721,8.38777
110,1,Y1,0,366962,0,43868,0,8.33535
110,1,Y2,0,242294,0,28762,0,8.38228
111,1,X1,811615,406730,97332,48892,8.35393,8.31341
111,1,X2,404097,201860,48398,24097,8.30557,8.33954
111,1,Y1,0,366668,0,43931,0,8.34415
111,1,Y2,0,241922,0,29058,0,8.2886
112,1,X1,812812,406767,96919,49032,8.3018,8.35548
112,1,X2,403806,201539,48385,24281,8.33998,8.30835
112,1,Y1,0,366584,0,44222,0,8.35202
112,1,Y2,0,241722,0,29091,0,8.32141
113,1,X1,811535,407220,97693,48677,8.35967,8.33915
113,1,X2,403723,201623,48373,24110,8.38503,8.35827
113,1,Y1,0,366734,0,43987,0,8.34044
113,1,Y2,0,242109,0,28800,0,8.35319
114,1,X1,811384,407056,97249,48540,8.38934,8.33941
114,1,X2,403780,202101,48399,24042,8.35263,8.3315
114,1,Y1,0,367189,0,43646,0,8.31311
114,1,Y2,0,241968,0,28936,0,8.37251
115,1,X1,811889,406393,97166,49158,8.32099,8.35917
115,1,X2,403429,201648,48332,24503,8.26672,8.38359
115,1,Y1,0,366701,0,44353,0,8.38124
115,1,Y2,0,241340,0,29308,0,8.34619
116,1,X1,811100,406619,97449,48550,8.33942,8.37145
116,1,X2,403602,202289,48059,24004,8.33779,8.34982
116,1,Y1,0,366755,0,44076,0,8.32566
116,1,Y2,0,242153,0,28478,0,8.42408
117,1,X1,812032,407474,97018,48574,8.36446,8.37032
117,1,X2,403504,201914,48496,24404,8.32665,8.32593
117,1,Y1,0,367164,0,43880,0,8.32131
117,1,Y2,0,242224,0,29098,0,8.407
118,1,X1,812159,407305,97293,48967,8.35621,8.32548
118,1,X2,403043,201567,48353,24283,8.37439,8.31771
118,1,Y1,0,366855,0,44332,0,8.35144
118,1,Y2,0,242017,0,28918,0,8.27917
119,1,X1,813939,407516,96411,48699,8.33815,8.3504
119,1,X2,403881,201447,47931,24303,8.34785,8.32008
119,1,Y1,0,367453,0,43645,0,8.35358
119,1,Y2,0,241510,0,29357,0,8.32057
120,1,X1,814192,407273,97845,49177,8.32313,8.34323
120,1,X2,404366,201548,48377,24101,8.32939,8.30356
120,1,Y1,0,367454,0,44159,0,8.32401
120,1,Y2,0,241367,0,29119,0,8.33954
121,1,X1,814627,407819,97339,48700,8.33691,8.27117
121,1,X2,404099,201358,48717,24311,8.38492,8.4029
121,1,Y1,0,367684,0,44034,0,8.29627
121,1,Y2,0,241493,0,28977,0,8.34355
122,1,X1,814208,407351,97849,48975,8.33546,8.35014
122,1,X2,404258,201591,48247,24020,8.30767,8.30358
122,1,Y1,0,367585,0,43901,0,8.35077
122,1,Y2,0,241357,0,29094,0,8.31075
123,1,X1,814621,406892,97424,49267,8.35707,8.3327
123,1,X2,403211,201428,48708,24320,8.31303,8.31686
123,1,Y1,0,367542,0,44191,0,8.33953
123,1,Y2,0,240778,0,29396,0,8.30933
124,1,X1,814582,407385,97160,48651,8.3203,8.33923
124,1,X2,403074,201376,48364,24128,8.37176,8.36891
124,1,Y1,0,367843,0,43873,0,8.34347
124,1,Y2,0,240918,0,28906,0,8.35757
125,1,X1,813537,407504,97960,48630,8.34402,8.30372
125,1,X2,403093,201685,48542,24163,8.38981,8.31788
125,1,Y1,0,368065,0,43930,0,8.28951
125,1,Y2,0,241124,0,28863,0,8.33721
126,1,X1,813509,407636,97851,48839,8.36588,8.28586
126,1,X2,402881,201377,48705,24397,8.29373,8.41759
126,1,Y1,0,367873,0,44270,0,8.31283
126,1,Y2,0,241140,0,28966,0,8.35559
127,1,X1,812768,407453,98357,49104,8.35381,8.3382
127,1,X2,402518,201238,48373,24009,8.33192,8.35695
127,1,Y1,0,367805,0,44177,0,8.34602
