Time, NodeID, Gender, AgeYears, NumIndividuals, NumInfected
67,1,M,40,87,10
67,1,M,80,92,6
67,1,M,125,84,10
67,1,F,40,85,6
67,1,F,80,73,5
67,1,F,125,88,11
68,2,M,40,88,5
68,2,M,80,77,4
68,2,M,125,78,9
68,2,F,40,76,13
68,2,F,80,82,6
68,2,F,125,92,4
68,1,M,40,86,9
68,1,M,80,94,6
68,1,M,125,87,10
68,1,F,40,79,3
68,1,F,80,75,6
68,1,F,125,86,10
69,2,M,40,95,5
69,2,M,80,79,4
69,2,M,125,79,7
69,2,F,40,78,8
69,2,F,80,82,5
69,2,F,125,96,4
69,1,M,40,79,9
69,1,M,80,92,6
69,1,M,125,86,12
69,1,F,40,77,6
69,1,F,80,75,6
69,1,F,125,82,7
70,2,M,40,96,6
70,2,M,80,81,6
70,2,M,125,79,5
70,2,F,40,80,9
70,2,F,80,76,5
70,2,F,125,89,4
70,1,M,40,78,7
70,1,M,80,90,6
70,1,M,125,86,9
70,1,F,40,75,4
70,1,F,80,81,6
70,1,F,125,89,7
71,2,M,40,97,6
71,2,M,80,78,6
71,2,M,125,74,3
71,2,F,40,74,8
71,2,F,80,79,6
71,2,F,125,91,6
71,1,M,40,77,6
71,1,M,80,93,6
71,1,M,125,91,10
71,1,F,40,81,3
71,1,F,80,78,4
71,1,F,125,87,6
72,2,M,40,93,3
72,2,M,80,86,6
72,2,M,125,73,4
72,2,F,40,74,7
72,2,F,80,77,5
72,2,F,125,91,6
72,1,M,40,81,7
72,1,M,80,85,7
72,1,M,125,92,8
72,1,F,40,81,2
72,1,F,80,80,6
72,1,F,125,87,6
73,2,M,40,96,3
73,2,M,80,82,4
73,2,M,125,78,5
73,2,F,40,71,5
73,2,F,80,74,6
73,2,F,125,95,6
73,1,M,40,78,7
73,1,M,80,89,9
73,1,M,125,87,7
73,1,F,40,84,5
73,1,F,80,83,7
73,1,F,125,83,6
74,2,M,40,91,3
74,2,M,80,84,4
74,2,M,125,86,4
74,2,F,40,65,3
74,2,F,80,78,6
74,2,F,125,97,8
74,1,M,40,83,7
74,1,M,80,87,9
74,1,M,125,79,6
74,1,F,40,90,5
74,1,F,80,79,4
74,1,F,125,81,5
75,2,M,40,83,2
75,2,M,80,83,4
75,2,M,125,84,3
75,2,F,40,69,2
75,2,F,80,71,5
75,2,F,125,93,7
75,1,M,40,91,8
75,1,M,80,88,8
75,1,M,125,81,7
75,1,F,40,86,6
75,1,F,80,86,4
