Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,20,9,68,0,0,68,59,0,5415,4600,2300,18,0,2,0,0,0,9,0,0,1867.41,76.5746,171.267,1,0.241325,0.0458154,0,0,0
3,18,10,73,0,0,73,55,0,5542,4000,2000,13,0,6,0,0,0,4,0,0,1731.41,80.5746,176.267,1,0.0406954,0.0777231,0,0,0
3,16,0,244,0,0,244,253,0,26180,400,200,0,0,0,0,0,0,27,0,0,46512.1,960.746,1649.67,1,0.150981,0.290082,0,0,0
3,14,0,63,0,0,63,61,0,5781,800,400,0,0,0,0,0,0,11,0,0,1473.41,98.5746,177.267,0.93959,0.0540812,0.0980256,0,0,0
3,12,16,67,0,0,67,58,0,5405,2800,1400,8,0,5,0,0,0,7,0,0,1889.41,86.5746,149.267,1,0.0646642,0.0742937,0,0,0
3,10,10,32,0,0,32,37,0,2606,1200,600,4,0,2,0,0,0,3,0,0,1020.2,55.7873,83.1337,1,0.0696083,0.206808,0,0,0
3,8,10,66,0,0,66,65,0,5333,4000,2000,15,0,4,0,0,0,10,0,0,1937.41,85.5746,174.267,1,0.0672062,0.0765664,0,0,0
3,6,9,82,0,0,82,72,0,5733,6200,3100,22,0,9,0,0,0,4,0,0,1535.41,89.5746,172.267,0.736508,0.04615,0.100248,0,0,0
3,4,7,29,0,0,29,30,0,2561,2000,1000,9,0,1,0,0,0,4,0,0,1074.2,51.7873,78.1337,1,0.0994124,0.0857231,0,0,0
3,2,0,37,0,0,37,49,0,4160,2800,1400,0,0,0,0,0,0,6,0,0,3084.41,107.575,178.267,1,0.0525214,0.171446,0,0,0
4,25,1,58,0,0,58,58,0,6252,4000,2000,18,0,2,0,0,0,5,0,0,2312.66,92.8989,195.407,1,0.104575,0.0734448,0,0,0
4,23,15,98,0,0,98,107,0,14262,6200,3100,26,0,3,0,0,0,18,0,0,28608.3,472.494,922.032,1,0.258263,0.226205,0,0,0
4,21,0,237,0,0,237,208,0,23224,400,200,0,0,0,0,0,0,28,0,0,60112.6,1740.99,3452.06,1,1,1,0,0,0
4,19,10,50,0,0,50,52,0,6161,3000,1500,13,0,1,0,0,0,6,0,0,2419.66,97.8989,174.407,1,0.105575,0.123048,0,0,0
4,17,4,132,0,0,132,108,0,16264,7600,3800,31,0,3,0,0,0,10,0,0,26639.3,482.494,879.032,1,0.149958,0.240371,0,0,0
4,15,5,63,0,0,63,53,0,5571,3800,1900,14,0,4,0,0,0,5,0,0,2989.66,107.899,184.407,1,0.164291,0.0836337,0,0,0
4,13,10,59,0,0,59,53,0,6217,3200,1600,13,0,1,0,0,0,5,0,0,2338.66,104.899,192.407,1,0.0428592,0.148556,0,0,0
4,11,10,123,0,0,123,107,0,16784,8200,4100,35,0,5,0,0,0,12,0,0,26177.3,433.494,870.032,1,0.138398,0.188031,0,0,0
4,9,0,49,0,0,49,55,0,5934,3000,1500,0,0,0,0,0,0,8,0,0,2653.66,103.899,161.407,1,0.109575,0.136056,0,0,0
4,7,0,74,0,0,74,69,0,5732,1800,900,0,0,0,0,0,0,12,0,0,2876.66,82.8989,161.407,1,0.417873,0.415669,0,0,0
4,5,12,28,0,0,28,26,0,2724,2000,1000,7,0,2,0,0,0,2,0,0,1563.33,50.4494,88.7033,1,0.0719683,0.200334,0,0,0
4,3,0,60,0,0,60,62,0,6935,2600,1300,0,0,0,0,0,0,10,0,0,1629.66,109.899,178.407,0.625926,0.0482873,0.165223,0,0,0
4,1,5,41,0,0,41,37,0,5270,2800,1400,12,0,2,0,0,0,5,0,0,3308.66,104.899,169.407,1,0.150958,0.130905,0,0,0
4,26,20,575,0,0,575,554,0,53846,2600,1300,11,0,2,0,0,0,61,0,0,112997,3799.98,6416.13,1,1,1,0,0,0
4,24,10,56,0,0,56,56,0,6864,3600,1800,11,0,5,0,0,0,10,0,0,1711.66,92.8989,184.407,1,0.0704789,0.212834,0,0,0
4,22,0,217,0,0,217,231,0,25316,600,300,0,0,0,0,0,0,34,0,0,58614.6,1668.99,2930.06,1,1,1,0,0,0
4,20,10,61,0,0,61,47,0,6317,4200,2100,13,0,7,0,0,0,7,0,0,2249.66,115.899,170.407,1,0.0382873,0.122334,0,0,0
4,18,11,64,0,0,64,51,0,6975,4200,2100,17,0,3,0,0,0,9,0,0,1598.66,96.8989,182.407,0.961893,0.100718,0.125905,0,0,0
4,16,0,212,0,0,212,223,0,24008,1400,700,0,0,0,0,0,0,32,0,0,59497.6,1763.99,3260.06,1,1,1,0,0,0
