Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,7,0,81,0,0,81,58,0,5734,3800,1900,0,0,0,0,0,0,6,0,0,19,7,1529.41,106.575,160.267,0.42471,0.034265,0.0935812,0,0,0
3,6,20,81,0,0,81,59,0,5268,3600,1800,18,0,7,0,0,0,9,0,0,16,11,1987.41,99.5746,175.267,1,0.0352208,0.0659408,0,0,0
3,5,30,62,0,0,62,36,0,2916,3200,1600,18,0,2,0,0,0,16,0,0,4,9,726.204,41.7873,81.1337,0.931791,0.0398321,0.0676593,0,0,0
3,4,9,55,0,0,55,35,0,2815,2400,1200,10,0,3,0,0,0,12,0,0,11,7,818.204,53.7873,78.1337,1,0.0193825,0.0359573,0,0,0
3,3,2,77,0,0,77,68,0,4586,4000,2000,23,0,4,0,0,0,13,0,0,15,11,2688.41,87.5746,168.267,1,0.05395,0.0672692,0,0,0
3,2,0,65,0,0,65,67,0,5085,3800,1900,0,0,0,0,0,0,13,0,0,13,11,2190.41,80.5746,174.267,1,0.063775,0.0941368,0,0,0
3,1,8,62,0,0,62,68,0,4807,3800,1900,17,0,7,0,0,0,13,0,0,10,13,2442.41,90.5746,190.267,1,0.041765,0.106529,0,0,0
4,26,20,596,0,0,596,549,0,56423,4000,2000,18,0,1,0,0,0,75,0,0,0,0,110914,3576.98,6145.13,1,1,1,0,0,0
4,25,2,73,0,0,73,54,0,6418,3800,1900,19,0,0,0,0,0,10,0,0,9,11,2136.66,110.899,187.407,1,0.144291,0.0647558,0,0,0
4,24,20,59,0,0,59,61,0,5546,2600,1300,10,0,4,0,0,0,7,0,0,16,5,3013.66,104.899,188.407,1,0.0575415,0.13939,0,0,0
4,23,30,77,0,0,77,118,0,15113,5200,2600,29,0,3,0,0,0,13,0,0,14,7,27818.3,485.494,848.032,1,0.333481,0.391517,0,0,0
4,22,0,139,0,0,139,223,0,22986,3000,1500,0,0,0,0,0,0,8,0,0,26,18,61671.6,1705.99,2166.06,1,1,1,0,0,0
4,21,0,150,0,0,150,217,0,26510,2600,1300,0,0,0,0,0,0,21,0,0,20,26,59105.6,1033.99,1880.06,1,0.660533,1,0,0,0
4,20,20,72,0,0,72,56,0,6458,5400,2700,21,0,5,0,0,0,9,0,0,13,9,2068.66,115.899,210.407,1,0.0427873,0.0973708,0,0,0
4,19,21,72,0,0,72,61,0,6437,4200,2100,18,0,4,0,0,0,11,0,0,18,15,2145.66,89.8989,180.407,1,0.0478592,0.0567558,0,0,0
4,18,21,86,0,0,86,56,0,6140,6400,3200,38,0,2,0,0,0,7,0,0,19,16,2416.66,102.899,193.407,1,0.0863122,0.130905,0,0,0
4,17,11,103,0,0,103,114,0,14867,6000,3000,29,0,5,0,0,0,12,0,0,16,19,28060.3,468.494,869.032,1,0.286171,0.532086,0,0,0
4,16,0,119,0,0,119,244,0,23460,3400,1700,0,0,0,0,0,0,15,0,0,23,21,61069.6,1115.99,2884.06,1,1,1,0,0,0
4,15,10,70,0,0,70,60,0,4891,4800,2400,24,0,3,0,0,0,11,0,0,11,10,3686.66,93.8989,181.407,1,0.0825746,0.0851486,0,0,0
4,14,0,69,0,0,69,59,0,5400,3600,1800,0,0,0,0,0,0,6,0,0,21,6,3189.66,89.8989,173.407,1,0.0775746,0.219084,0,0,0
4,13,20,62,0,0,62,59,0,6070,4600,2300,23,0,5,0,0,0,13,0,0,19,8,2525.66,97.8989,159.407,1,0.0721455,0.247834,0,0,0
4,12,29,75,0,0,75,49,0,5650,4600,2300,22,0,4,0,0,0,11,0,0,24,10,2933.66,90.8989,178.407,1,0.0527873,0.168267,0,0,0
4,11,20,81,0,0,81,106,0,13603,5400,2700,26,0,4,0,0,0,22,0,0,15,12,29298.3,486.494,877.032,1,0.155312,0.808337,0,0,0
4,10,19,56,0,0,56,30,0,3524,2400,1200,10,0,4,0,0,0,9,0,0,10,7,780.33,41.4494,80.7033,0.755204,0.0572342,0.128556,0,0,0
4,9,18,51,0,0,51,53,0,5980,4000,2000,19,0,7,0,0,0,12,0,0,12,7,2592.66,104.899,175.407,1,0.0885746,0.180267,0,0,0
4,8,21,66,0,0,66,51,0,5550,2800,1400,15,0,3,0,0,0,6,0,0,16,5,3034.66,106.899,161.407,1,0.116968,0.132723,0,0,0
4,7,0,73,0,0,73,53,0,6029,2600,1300,0,0,0,0,0,0,13,0,0,19,9,2546.66,104.899,172.407,1,0.0592081,0.114477,0,0,0
4,6,21,76,0,0,76,50,0,6404,4800,2400,25,0,2,0,0,0,10,0,0,18,9,2171.66,110.899,166.407,1,0.124468,0.125191,0,0,0
4,5,31,60,0,0,60,27,0,3366,3600,1800,16,0,3,0,0,0,8,0,0,6,9,909.33,54.4494,96.7033,1,0.0417873,0.0507086,0,0,0
4,4,8,61,0,0,61,32,0,3492,3800,1900,16,0,4,0,0,0,6,0,0,4,7,806.33,39.4494,88.7033,0.681836,0.0896455,0.130223,0,0,0
4,3,2,70,0,0,70,64,0,4794,4800,2400,24,0,3,0,0,0,6,0,0,13,8,3796.66,106.899,155.407,1,0.0729789,0.0701114,0,0,0
4,2,1,68,0,0,68,63,0,6418,3800,1900,26,0,6,0,0,0,10,0,0,13,8,2143.66,91.8989,199.407,1,0.0805746,0.145223,0,0,0
