Time,NodeID,Species,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,MigrationFromCountLocal,MigrationFromCountRegional,AvailableHabitat,EggCrowdingCorrection
38,340461476,pyrethroid_resistant,1000,20221,191,760,19270,25590,30468,183124,1003720,501860,3556,22,3577,27,2668,0,1869,327,341,0,0,26368.9,0.0304516
38,340461476,carbamate_resistant,1000,20427,204,756,19467,25612,30475,182893,1022720,511360,3680,31,3667,30,2768,0,1849,380,340,0,0,26599.9,0.0302695
38,340461476,organochlorines_resistant,1000,20137,169,805,19163,25925,30205,183029,987360,493680,3467,19,3586,18,2705,0,1970,356,375,0,0,26463.9,0.0297451
39,340461476,pyrethroid_resistant,1000,20206,210,762,19234,25881,30999,183617,921400,460700,3461,16,3275,13,2571,0,1879,340,367,0,0,26042.2,0.0262712
39,340461476,carbamate_resistant,1000,20381,220,789,19372,25811,30970,183351,925840,462920,3409,19,3402,21,2616,0,1985,329,348,0,0,26308.2,0.026009
39,340461476,organochlorines_resistant,1000,20147,180,812,19155,26037,30525,183619,921720,460860,3335,15,3405,17,2627,0,1927,321,369,0,0,26040.2,0.0268027
40,340461476,pyrethroid_resistant,1000,20876,228,740,19908,26643,30269,183495,910880,455440,3239,16,3340,8,3236,0,1923,322,321,0,0,26310.9,0.0282637
40,340461476,carbamate_resistant,1000,21019,248,786,19985,26858,30144,183460,898680,449340,3248,12,3276,17,3239,0,1935,327,339,0,0,26345.9,0.0284155
40,340461476,organochlorines_resistant,1000,20860,211,823,19826,26923,29668,183582,905960,452980,3250,20,3334,12,3273,0,1922,301,337,0,0,26223.9,0.0282518
41,340461476,pyrethroid_resistant,1000,21023,226,796,20001,26881,30170,183917,1000040,500020,3752,27,3809,28,2899,0,1993,374,385,0,0,26018.4,0.0288852
41,340461476,carbamate_resistant,1000,20977,252,803,19922,27056,30249,183655,1013920,506960,3780,25,3798,31,2797,0,2075,377,387,0,0,26280.4,0.0293163
41,340461476,organochlorines_resistant,1000,20902,226,862,19814,27189,29965,183524,989520,494760,3754,21,3817,28,2713,0,1943,362,366,0,0,26411.4,0.028946
42,340461476,pyrethroid_resistant,1000,21291,228,797,20266,27306,29962,183732,932640,466320,3487,17,3475,18,2963,0,2001,347,347,0,0,26317.6,0.0260174
42,340461476,carbamate_resistant,1000,21360,262,809,20289,27389,30059,184029,940760,470380,3388,16,3479,22,2988,0,1926,323,356,0,0,26020.6,0.0259196
42,340461476,organochlorines_resistant,1000,21148,235,853,20060,27476,30077,183429,942960,471480,3466,18,3414,23,2946,0,1983,349,368,0,0,26620.6,0.0266911
43,340461476,pyrethroid_resistant,1000,21486,258,816,20412,27537,30006,183748,921720,460860,3534,15,3429,17,2965,0,2065,355,350,0,0,26402.4,0.0282184
43,340461476,carbamate_resistant,1000,21406,274,787,20345,27726,30242,184220,924160,462080,3462,24,3501,21,2816,0,2061,326,383,0,0,25930.4,0.0276592
43,340461476,organochlorines_resistant,1000,21290,255,849,20186,27733,29992,184238,930160,465080,3449,21,3533,26,2852,0,1976,346,388,0,0,25912.4,0.0282309
44,340461476,pyrethroid_resistant,1000,21585,255,827,20503,27729,29821,184066,1060360,530180,3778,27,3859,27,2933,0,2011,398,425,0,0,26173.4,0.0286447
44,340461476,carbamate_resistant,1000,21534,282,786,20466,28112,30033,184085,1076600,538300,3736,29,3830,27,2921,0,2006,399,388,0,0,26154.4,0.0280584
44,340461476,organochlorines_resistant,1000,21378,286,842,20250,28043,29954,183735,1068320,534160,3726,18,3815,31,2833,0,1993,368,384,0,0,26504.4,0.027858
45,340461476,pyrethroid_resistant,1000,21646,259,830,20557,27888,29915,184117,967920,483960,3612,27,3600,17,2848,0,2027,374,386,0,0,26200.9,0.0246835
45,340461476,carbamate_resistant,1000,21545,289,792,20464,28241,30116,184142,965800,482900,3538,26,3608,16,2873,0,2135,367,360,0,0,26175.9,0.0242935
45,340461476,organochlorines_resistant,1000,21486,301,844,20341,28228,30016,183757,954600,477300,3515,16,3500,31,2903,0,2083,357,355,0,0,26560.9,0.0248094
46,340461476,pyrethroid_resistant,1000,21786,277,845,20664,28101,29805,184167,976280,488140,3666,18,3450,16,2947,0,2081,375,351,0,0,26220.1,0.0270693
46,340461476,carbamate_resistant,1000,21783,305,794,20684,28384,29980,184164,975360,487680,3503,25,3599,17,3005,0,2073,349,345,0,0,26223.1,0.0271028
46,340461476,organochlorines_resistant,1000,21637,308,862,20467,28494,29615,184619,975320,487660,3562,36,3568,25,2947,0,2065,333,398,0,0,25768.1,0.0278241
47,340461476,pyrethroid_resistant,1000,21804,287,835,20682,28311,29576,184598,1055960,527980,3689,32,3904,28,2888,0,2095,373,402,0,0,25850.2,0.0268572
47,340461476,carbamate_resistant,1000,21975,314,802,20859,28556,29892,184270,1056280,528140,3787,38,3868,31,2967,0,2011,347,417,0,0,26178.2,0.0268856
47,340461476,organochlorines_resistant,1000,21692,326,854,20512,28627,29738,184355,1052760,526380,3777,24,3799,37,2858,0,2043,396,364,0,0,26093.2,0.0264202
48,340461476,pyrethroid_resistant,1000,21803,300,792,20711,28465,30359,183643,1005560,502780,3587,22,3673,24,2858,0,2129,342,388,0,0,26859.2,0.0244803
