Time,NodeID,NodePopulation,InterventionName,FractionHas,AvgNumberOfInterventions,AvgEfficacy-Attracting,AvgEfficacy-Repelling,AvgEfficacy-Blocking,AvgEfficacy-Killing,AvgEfficacy-Usage,AvgEfficacy-AcquisitionBlocking,AvgEfficacy-TransmissionBlocking,AvgEfficacy-MortalityBlocking,DrugConcentration
127,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
127,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0860239
127,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
128,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0725473
128,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
128,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0751531
128,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
128,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0748108
128,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
128,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.0804761
128,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
129,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0678686
129,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
129,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0703063
129,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
129,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0699861
129,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
129,1,1000,AdherentDrug-Piperaquine,0.467,1,0,0,0,0,0,0,0,0,0.075286
129,1,1000,SimpleBednet,0.491,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
130,4,1000,AdherentDrug-Piperaquine,0.484,1,0,0,0,0,0,0,0,0,0.0634912
130,4,1000,SimpleBednet,0.484,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
130,3,1000,AdherentDrug-Piperaquine,0.492,1,0,0,0,0,0,0,0,0,0.0657717
130,3,1000,SimpleBednet,0.482,1,0,0.0999997,0.899996,0.700001,1,0,0,0,0
130,2,1000,AdherentDrug-Piperaquine,0.526,1,0,0,0,0,0,0,0,0,0.0654722
130,2,1000,SimpleBednet,0.505,1,0,0.0999996,0.899996,0.700002,1,0,0,0,0
