Year,Event_Name,Individual_ID,Age,Gender,Infectiousness
0.0273973,Teen_Is_Post_Debut,2,26043.9,F,0
0.0273973,Teen_Is_Post_Debut,3,7167.27,F,0
0.0273973,Teen_Is_Pre_Debut,4,5547.51,M,0
0.0273973,Teen_Is_Post_Debut,5,17054,F,0
0.0273973,Teen_Is_Post_Debut,6,8546.29,F,0
0.0273973,Teen_Is_Post_Debut,7,9794.64,M,0
0.0273973,Teen_Is_Pre_Debut,8,3817.19,M,0
0.0273973,Teen_Is_Post_Debut,9,13098.9,M,0
0.0273973,Teen_Is_Post_Debut,10,6379.58,F,0
0.0273973,Teen_Is_Post_Debut,11,20961.7,F,0
0.0273973,Teen_Is_Post_Debut,12,9750.89,F,0
0.0273973,Teen_Is_Post_Debut,13,10627.6,M,0
0.0273973,Teen_Is_Pre_Debut,14,2013.71,F,0
0.0273973,Teen_Is_Pre_Debut,15,1149.84,M,0
0.0273973,Teen_Is_Pre_Debut,16,112.28,M,0
0.0273973,Teen_Is_Post_Debut,17,16316.1,M,0
0.0273973,Teen_Is_Pre_Debut,18,2988.24,F,0
0.0273973,Teen_Is_Pre_Debut,19,2225.56,M,0
0.0273973,Teen_Is_Post_Debut,20,17998.4,F,0
0.0273973,Teen_Is_Post_Debut,21,18172.5,M,0
0.0273973,Teen_Is_Pre_Debut,22,871.103,F,0
0.0273973,Teen_Is_Pre_Debut,23,148.515,M,0
0.0273973,Teen_Is_Pre_Debut,24,3127.86,M,0
0.0273973,Teen_Is_Pre_Debut,25,5544.32,M,0
0.0273973,Teen_Is_Post_Debut,26,9746.45,F,0
0.0273973,Teen_Is_Post_Debut,27,17250.1,M,0
0.0273973,Teen_Is_Post_Debut,28,21763.5,M,0
0.0273973,Teen_Is_Pre_Debut,29,2456.23,M,0
0.0273973,Teen_Is_Post_Debut,30,9831.39,F,0
0.0273973,Teen_Is_Post_Debut,31,13667.3,M,0
0.0273973,Teen_Is_Pre_Debut,32,3322.8,M,0
0.0273973,Teen_Is_Pre_Debut,33,1081.11,M,0
0.0273973,Teen_Is_Pre_Debut,34,1286.41,M,0
0.0273973,Teen_Is_Pre_Debut,35,3874.43,M,0
0.0273973,Teen_Is_Pre_Debut,36,1631.75,M,0
0.0273973,Teen_Is_Post_Debut,37,6383.04,F,0
0.0273973,Teen_Is_Post_Debut,38,14731.7,F,0
0.0273973,Teen_Is_Post_Debut,39,6051.8,F,0
0.0273973,Teen_Is_Post_Debut,40,30620.2,F,0
0.0273973,Teen_Is_Post_Debut,41,15913.9,M,0
0.0273973,Teen_Is_Pre_Debut,42,4075.86,F,0
0.0273973,Teen_Is_Pre_Debut,43,5993.33,F,0
0.0273973,Teen_Is_Pre_Debut,44,118.128,F,0
0.0273973,Teen_Is_Pre_Debut,45,1502.94,M,0
0.0273973,Teen_Is_Post_Debut,46,12790.8,M,0
0.0273973,Teen_Is_Pre_Debut,47,2613.92,M,0
0.0273973,Teen_Is_Pre_Debut,48,2157.95,F,0
0.0273973,Teen_Is_Post_Debut,49,17284.4,F,0
0.0273973,Teen_Is_Post_Debut,50,13160.9,F,0
