Year, NodeId, Gender, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever HIVPos, Tested Ever HIVNeg, Tested Positive, Tested Negative,Reduced_Acquire_Lowest,Reduced_Acquire_Medium,Reduced_Acquire_Low,Reduced_Acquire_Highest_Not_Duplicated
1962.97,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962.97,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
