Year, NodeId, IP_Key:Accessibility, HasIntervention:Delayed_Intervention_Test_On_ANC, On_Art_Dim, Age, Population, Infected, Newly Infected, On_ART, Died, Died_from_HIV, Tested Past Year or On_ART, Tested Ever, Diagnosed, Newly Tested Positive, Newly Tested Negative,Transmitters
1995.5,2,Yes,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,Yes,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,0,41,17,25,0,6,6,0,0,0,0,0,0
1995.5,2,No,0,0,10,23,17,13,0,4,4,0,0,0,0,0,0
1995.5,2,No,0,0,20,20,5,13,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,30,17,9,10,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,40,14,8,2,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,50,7,3,3,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,60,3,2,3,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,70,5,3,2,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,0,1,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,80,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,50,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,60,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,70,0,0,0,0,0,0,0,0,0,0,0,0
1995.5,2,No,1,1,80,0,0,0,0,0,0,0,0,0,0,0,0
