Time,NodeID,Population,VectorPopulation,STATE_INFECTIOUS,STATE_INFECTED,STATE_ADULT,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,NewEggsCount,IndoorBitesCount,IndoorBitesCount-Infectious,OutdoorBitesCount,OutdoorBitesCount-Infectious,NewAdults,UnmatedAdults,DiedBeforeFeeding,DiedDuringFeedingIndoor,DiedDuringFeedingOutdoor,arabiensis_AvailableHabitat,funestus_AvailableHabitat,gambiae_AvailableHabitat,arabiensis_EggCrowdingCorrection,funestus_EggCrowdingCorrection,gambiae_EggCrowdingCorrection,NumInfectousBitesGiven,NumInfectousBitesReceived,InfectiousBitesGivenMinusReceived
3,3,2,65,0,0,65,52,0,5703,4200,2100,16,0,5,0,0,0,11,0,0,1546.41,99.5746,181.267,0.928135,0.0732357,0.109654,0,0,0
3,2,10,60,0,0,60,55,0,5093,4200,2100,23,0,1,0,0,0,11,0,0,2216.41,90.5746,130.267,1,0.0472062,0.114654,0,0,0
3,1,6,57,0,0,57,58,0,4029,3200,1600,9,0,7,0,0,0,9,0,0,3261.41,82.5746,157.267,1,0.0375136,0.0908034,0,0,0
4,26,0,586,0,0,586,540,0,57498,2000,1000,0,0,0,0,0,0,67,0,0,110347,2956.98,6257.13,1,1,1,0,0,0
4,25,1,55,0,0,55,66,0,5861,3000,1500,12,0,2,0,0,0,7,0,0,2697.66,92.8989,201.407,1,0.0382873,0.0831337,0,0,0
4,24,10,69,0,0,69,82,0,6380,5400,2700,21,0,5,0,0,0,7,0,0,2187.66,105.899,179.407,1,0.116968,0.136056,0,0,0
4,23,15,109,0,0,109,121,0,15491,5800,2900,28,0,2,0,0,0,12,0,0,27422.3,497.494,854.032,1,0.360624,0.148453,0,0,0
4,22,0,169,0,0,169,157,0,25498,2400,1200,0,0,0,0,0,0,30,0,0,59390.6,1116.99,2524.06,1,1,1,0,0,0
4,21,0,221,0,0,221,213,0,24776,2800,1400,0,0,0,0,0,0,25,0,0,59408.6,1476.99,2868.06,1,1,1,0,0,0
4,20,10,60,0,0,60,59,0,5624,4400,2200,20,0,1,0,0,0,5,0,0,2950.66,91.8989,186.407,1,0.118218,0.149267,0,0,0
4,19,10,60,0,0,60,64,0,6398,3400,1700,16,0,0,0,0,0,3,0,0,2148.66,105.899,200.407,1,0.0452873,0.0635644,0,0,0
4,18,10,82,0,0,82,80,0,6553,5800,2900,32,0,3,0,0,0,12,0,0,2040.66,103.899,155.407,1,0.175958,0.0976672,0,0,0
4,17,4,149,0,0,149,122,0,14763,5400,2700,45,0,4,0,0,0,14,0,0,28131.3,462.494,908.032,1,0.247437,0.393789,0,0,0
4,16,0,163,0,0,163,188,0,25193,3600,1800,0,0,0,0,0,0,22,0,0,58765.6,1294.99,3276.06,1,1,1,0,0,0
4,15,6,49,0,0,49,43,0,6616,2600,1300,12,0,0,0,0,0,7,0,0,1963.66,100.899,172.407,1,0.142624,0.173267,0,0,0
4,14,0,64,0,0,64,57,0,5087,3200,1600,0,0,0,0,0,0,4,0,0,3477.66,98.8989,189.407,1,0.0845746,0.235334,0,0,0
4,13,10,69,0,0,69,58,0,4612,3800,1900,17,0,3,0,0,0,7,0,0,3939.66,108.899,192.407,1,0.0427873,0.135905,0,0,0
4,12,13,81,0,0,81,94,0,6799,4600,2300,23,0,2,0,0,0,14,0,0,1793.66,92.8989,167.407,1,0.066839,0.102926,0,0,0
4,11,11,101,0,0,101,103,0,13552,6000,3000,32,0,4,0,0,0,11,0,0,29373.3,473.494,866.032,1,0.241041,0.24657,0,0,0
4,10,10,34,0,0,34,38,0,3124,1800,900,6,0,2,0,0,0,5,0,0,1143.33,43.4494,115.703,1,0.0846455,0.0676114,0,0,0
4,9,12,57,0,0,57,41,0,5420,3800,1900,20,0,2,0,0,0,6,0,0,3141.66,106.899,184.407,1,0.0584842,0.120167,0,0,0
4,8,10,60,0,0,60,63,0,6980,3800,1900,16,0,5,0,0,0,5,0,0,1577.66,104.899,190.407,0.82356,0.0925746,0.267112,0,0,0
4,7,0,56,0,0,56,70,0,6427,2800,1400,0,0,0,0,0,0,9,0,0,2137.66,102.899,185.407,1,0.0895746,0.155267,0,0,0
4,6,9,64,0,0,64,63,0,6280,4200,2100,18,0,4,0,0,0,5,0,0,2314.66,99.8989,158.407,1,0.0795746,0.147723,0,0,0
