Time, NodeID, NumIndividuals, NumInfected, NodeProp=InterventionStatus, NodeProp=Place, NodeProp=Risk
4,51,510,60,NONE,RURAL,HIGH
4,50,500,26,NONE,RURAL,LOW
4,49,490,35,SPRAYED_B,RURAL,MED
4,48,480,30,SPRAYED_A,RURAL,LOW
4,47,470,22,SPRAYED_B,URBAN,HIGH
4,46,460,42,SPRAYED_B,RURAL,LOW
4,45,450,39,SPRAYED_A,RURAL,MED
4,44,441,34,SPRAYED_B,RURAL,HIGH
4,43,430,36,SPRAYED_A,URBAN,LOW
4,42,420,21,SPRAYED_B,URBAN,LOW
4,41,410,39,NONE,URBAN,MED
4,40,400,32,FENCE_AND_TRAP,RURAL,LOW
4,39,390,22,FENCE_AND_TRAP,URBAN,LOW
4,38,380,31,SPRAYED_A,URBAN,LOW
4,37,370,29,NONE,RURAL,LOW
4,36,360,24,SPRAYED_B,RURAL,LOW
4,35,350,25,SPRAYED_B,URBAN,LOW
4,34,340,26,NONE,RURAL,LOW
4,33,330,16,NONE,URBAN,MED
4,32,320,23,NONE,URBAN,HIGH
4,31,310,20,SPRAYED_A,URBAN,LOW
4,30,300,29,SPRAYED_B,RURAL,LOW
4,29,290,40,FENCE_AND_TRAP,RURAL,LOW
4,28,280,22,SPRAYED_B,URBAN,MED
4,27,270,19,SPRAYED_A,URBAN,MED
4,26,260,18,NONE,RURAL,MED
4,25,250,15,NONE,RURAL,HIGH
4,24,240,18,FENCE_AND_TRAP,RURAL,LOW
4,23,230,17,SPRAYED_A,URBAN,HIGH
4,22,220,30,SPRAYED_B,RURAL,LOW
4,21,210,23,NONE,RURAL,LOW
4,20,200,12,NONE,URBAN,LOW
4,19,190,15,NONE,URBAN,LOW
4,18,180,13,SPRAYED_A,URBAN,LOW
4,17,170,12,NONE,RURAL,LOW
4,16,160,11,SPRAYED_A,RURAL,LOW
4,15,150,19,FENCE_AND_TRAP,RURAL,MED
4,14,140,14,NONE,RURAL,LOW
4,13,130,1,NONE,RURAL,LOW
4,12,120,12,SPRAYED_A,URBAN,LOW
4,11,110,16,NONE,RURAL,MED
4,10,100,10,NONE,RURAL,LOW
4,9,90,5,FENCE_AND_TRAP,RURAL,MED
4,8,80,9,NONE,URBAN,LOW
4,7,70,5,NONE,RURAL,LOW
4,6,60,1,NONE,RURAL,LOW
4,5,50,4,SPRAYED_B,RURAL,MED
4,4,40,5,SPRAYED_B,URBAN,LOW
4,3,30,8,NONE,RURAL,MED
4,2,20,5,SPRAYED_A,RURAL,LOW
4,1,10,1,NONE,RURAL,HIGH
5,100,1000,103,NONE,RURAL,LOW
5,99,990,99,NONE,RURAL,MED
5,98,980,96,NONE,RURAL,LOW
5,97,970,99,NONE,URBAN,LOW
5,96,960,61,NONE,RURAL,LOW
5,95,950,83,NONE,RURAL,LOW
5,94,941,68,NONE,RURAL,LOW
5,93,930,59,NONE,URBAN,LOW
5,92,920,85,NONE,URBAN,LOW
5,91,910,67,NONE,URBAN,MED
5,90,899,73,NONE,URBAN,LOW
5,89,889,101,NONE,RURAL,LOW
5,88,880,103,NONE,RURAL,LOW
5,87,870,67,NONE,RURAL,LOW
5,86,859,89,NONE,RURAL,LOW
5,85,850,96,NONE,RURAL,LOW
5,84,840,86,NONE,RURAL,MED
5,83,830,67,NONE,RURAL,LOW
5,82,820,64,NONE,URBAN,LOW
5,81,810,66,NONE,RURAL,LOW
5,80,800,73,NONE,RURAL,LOW
5,79,790,70,NONE,RURAL,MED
5,78,781,72,NONE,URBAN,HIGH
5,77,770,92,NONE,RURAL,HIGH
5,76,760,67,NONE,RURAL,LOW
5,75,750,56,NONE,URBAN,LOW
5,74,741,60,NONE,RURAL,LOW
5,73,730,50,NONE,URBAN,LOW
5,72,720,68,NONE,RURAL,LOW
5,71,710,40,NONE,RURAL,MED
5,70,701,52,NONE,URBAN,LOW
5,69,690,37,NONE,URBAN,LOW
5,68,681,92,NONE,URBAN,LOW
5,67,670,66,NONE,RURAL,LOW
