Year, NodeID, IndividualID, Gender, AgeYears, IndividualProperties,NumRels_Last6Months_TRANSITORY,NumRels_Last6Months_INFORMAL,NumRels_Last6Months_MARITAL,NumRels_Last6Months_COMMERCIAL,NumRels_Active_TRANSITORY,NumRels_Active_INFORMAL,NumRels_Active_MARITAL,NumRels_Active_COMMERCIAL,NumRels_Last12Months_TRANSITORY,NumRels_Last12Months_INFORMAL,NumRels_Last12Months_MARITAL,NumRels_Last12Months_COMMERCIAL,NumUniquePartners_Last-3-Months_TRANSITORY,NumUniquePartners_Last-3-Months_INFORMAL,NumUniquePartners_Last-3-Months_MARITAL,NumUniquePartners_Last-3-Months_COMMERCIAL,NumUniquePartners_Last-6-Months_TRANSITORY,NumUniquePartners_Last-6-Months_INFORMAL,NumUniquePartners_Last-6-Months_MARITAL,NumUniquePartners_Last-6-Months_COMMERCIAL,NumUniquePartners_Last-9-Months_TRANSITORY,NumUniquePartners_Last-9-Months_INFORMAL,NumUniquePartners_Last-9-Months_MARITAL,NumUniquePartners_Last-9-Months_COMMERCIAL,NumUniquePartners_Last-12-Months_TRANSITORY,NumUniquePartners_Last-12-Months_INFORMAL,NumUniquePartners_Last-12-Months_MARITAL,NumUniquePartners_Last-12-Months_COMMERCIAL
1962,1,124,M,2.98325,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,125,F,45.8924,Risk:LOW,0,0,31,0,0,0,1,0,0,0,60,0,0,0,14,0,0,0,26,0,0,0,38,0,0,0,47,0
1962,1,126,F,53.8817,Risk:LOW,0,0,16,0,0,0,0,0,0,0,28,0,0,0,6,0,0,0,13,0,0,0,17,0,0,0,20,0
1962,1,127,F,4.59549,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,128,M,13.7841,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,129,M,12.8342,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,130,F,33.9071,Risk:LOW,0,0,28,0,0,0,1,0,0,0,60,0,0,0,15,0,0,0,27,0,0,0,43,0,0,0,53,0
1962,1,131,F,23.9632,Risk:LOW,0,0,3,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,3,0,0,0,6,0,0,0,9,0
1962,1,132,M,44.4528,Risk:LOW,0,0,25,0,0,0,1,0,0,0,52,0,0,0,11,0,0,0,25,0,0,0,30,0,0,0,45,0
1962,1,133,M,13.9648,Risk:LOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,1,134,F,20.4717,Risk:LOW,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,4,0
1962,1,135,M,31.1974,Risk:LOW,0,0,7,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,7,0,0,0,13,0,0,0,15,0
